phase,sequence,frame_index,predicted_file,reference_file,iou,intersection,union
part1,dance-twirl,0,frame_0000.png,00000.png,0.17552309181998063,20846,118765
part1,dance-twirl,1,frame_0001.png,00001.png,0.6345161185598805,19545,30803
part1,dance-twirl,10,frame_0010.png,00010.png,0.7682680901542112,25906,33720
part1,dance-twirl,11,frame_0011.png,00011.png,0.7629962805985642,26463,34683
part1,dance-twirl,12,frame_0012.png,00012.png,0.6863749869940693,26387,38444
part1,dance-twirl,13,frame_0013.png,00013.png,0.6872910998834045,26526,38595
part1,dance-twirl,14,frame_0014.png,00014.png,0.7404218801904551,26747,36124
part1,dance-twirl,15,frame_0015.png,00015.png,0.7397756062251176,26572,35919
part1,dance-twirl,16,frame_0016.png,00016.png,0.6500408163265307,23889,36750
part1,dance-twirl,17,frame_0017.png,00017.png,0.5195345169538101,21742,41849
part1,dance-twirl,18,frame_0018.png,00018.png,0.5677605002490178,20520,36142
part1,dance-twirl,19,frame_0019.png,00019.png,0.5676834946524819,20117,35437
part1,dance-twirl,2,frame_0002.png,00002.png,0.6192440897455203,20562,33205
part1,dance-twirl,20,frame_0020.png,00020.png,0.5559299988175476,18806,33828
part1,dance-twirl,21,frame_0021.png,00021.png,0.3936495437491315,16997,43178
part1,dance-twirl,22,frame_0022.png,00022.png,0.4005920550038197,16780,41888
part1,dance-twirl,23,frame_0023.png,00023.png,0.5035052281368821,16950,33664
part1,dance-twirl,24,frame_0024.png,00024.png,0.6069517769195337,17130,28223
part1,dance-twirl,25,frame_0025.png,00025.png,0.42873874125094114,15375,35861
part1,dance-twirl,26,frame_0026.png,00026.png,0.42132782753257897,15713,37294
part1,dance-twirl,27,frame_0027.png,00027.png,0.4838117850205051,17932,37064
part1,dance-twirl,28,frame_0028.png,00028.png,0.562888198757764,18850,33488
part1,dance-twirl,29,frame_0029.png,00029.png,0.5942956264573735,20899,35166
part1,dance-twirl,3,frame_0003.png,00003.png,0.5942340406482227,19911,33507
part1,dance-twirl,30,frame_0030.png,00030.png,0.6177851718678724,23023,37267
part1,dance-twirl,31,frame_0031.png,00031.png,0.6278172316762696,23427,37315
part1,dance-twirl,32,frame_0032.png,00032.png,0.6196833117449576,23442,37829
part1,dance-twirl,33,frame_0033.png,00033.png,0.5597701439120901,22210,39677
part1,dance-twirl,34,frame_0034.png,00034.png,0.5521043119029176,21383,38730
part1,dance-twirl,35,frame_0035.png,00035.png,0.6413513275116874,21813,34011
part1,dance-twirl,36,frame_0036.png,00036.png,0.669681785644563,20582,30734
part1,dance-twirl,37,frame_0037.png,00037.png,0.5619690891930156,19053,33904
part1,dance-twirl,38,frame_0038.png,00038.png,0.5270333120167432,18131,34402
part1,dance-twirl,39,frame_0039.png,00039.png,0.5995015458388542,19003,31698
part1,dance-twirl,4,frame_0004.png,00004.png,0.6419307022419863,20787,32382
part1,dance-twirl,40,frame_0040.png,00040.png,0.6917498811222064,23276,33648
part1,dance-twirl,41,frame_0041.png,00041.png,0.7478010052547407,26185,35016
part1,dance-twirl,42,frame_0042.png,00042.png,0.6854641163287643,26304,38374
part1,dance-twirl,43,frame_0043.png,00043.png,0.5920192720507561,24821,41926
part1,dance-twirl,44,frame_0044.png,00044.png,0.6078381620225134,26351,43352
part1,dance-twirl,45,frame_0045.png,00045.png,0.610290776919582,26865,44020
part1,dance-twirl,46,frame_0046.png,00046.png,0.6189625926256584,27732,44804
part1,dance-twirl,47,frame_0047.png,00047.png,0.6866755077825085,29514,42981
part1,dance-twirl,48,frame_0048.png,00048.png,0.7326031536209989,31036,42364
part1,dance-twirl,49,frame_0049.png,00049.png,0.6950146627565983,29388,42284
part1,dance-twirl,5,frame_0005.png,00005.png,0.7037037037037037,20995,29835
part1,dance-twirl,50,frame_0050.png,00050.png,0.7008484734528874,29819,42547
part1,dance-twirl,51,frame_0051.png,00051.png,0.6595979921721248,29829,45223
part1,dance-twirl,52,frame_0052.png,00052.png,0.6311156291906389,29179,46234
part1,dance-twirl,53,frame_0053.png,00053.png,0.6550965044916837,29461,44972
part1,dance-twirl,54,frame_0054.png,00054.png,0.7302860264177178,29413,40276
part1,dance-twirl,55,frame_0055.png,00055.png,0.7404012628577248,29080,39276
part1,dance-twirl,56,frame_0056.png,00056.png,0.7316542288557214,28236,38592
part1,dance-twirl,57,frame_0057.png,00057.png,0.734225065425996,27775,37829
part1,dance-twirl,58,frame_0058.png,00058.png,0.7371961514753571,27507,37313
part1,dance-twirl,59,frame_0059.png,00059.png,0.7176461312026914,27305,38048
part1,dance-twirl,6,frame_0006.png,00006.png,0.707901943757932,21196,29942
part1,dance-twirl,60,frame_0060.png,00060.png,0.7089485401366463,27705,39079
part1,dance-twirl,61,frame_0061.png,00061.png,0.7308892161022237,29286,40069
part1,dance-twirl,62,frame_0062.png,00062.png,0.7193747216949073,30695,42669
part1,dance-twirl,63,frame_0063.png,00063.png,0.7371263126450516,32079,43519
part1,dance-twirl,64,frame_0064.png,00064.png,0.7480787211238056,32804,43851
part1,dance-twirl,65,frame_0065.png,00065.png,0.7582327488043725,33294,43910
part1,dance-twirl,66,frame_0066.png,00066.png,0.775764361775056,33949,43762
part1,dance-twirl,67,frame_0067.png,00067.png,0.7687574343489798,33607,43716
part1,dance-twirl,68,frame_0068.png,00068.png,0.7516177202588352,33220,44198
part1,dance-twirl,69,frame_0069.png,00069.png,0.7554413407821229,33806,44750
part1,dance-twirl,7,frame_0007.png,00007.png,0.730028101164191,21822,29892
part1,dance-twirl,70,frame_0070.png,00070.png,0.769715337157701,35557,46195
part1,dance-twirl,71,frame_0071.png,00071.png,0.7923905090414968,37904,47835
part1,dance-twirl,72,frame_0072.png,00072.png,0.7971228552929751,39397,49424
part1,dance-twirl,73,frame_0073.png,00073.png,0.806236559139785,41239,51150
part1,dance-twirl,74,frame_0074.png,00074.png,0.8217762129798731,43647,53113
part1,dance-twirl,75,frame_0075.png,00075.png,0.8322394807846569,45650,54852
part1,dance-twirl,76,frame_0076.png,00076.png,0.8453197570560914,47321,55980
part1,dance-twirl,77,frame_0077.png,00077.png,0.842378702557576,48318,57359
part1,dance-twirl,78,frame_0078.png,00078.png,0.8529951206007544,49298,57794
part1,dance-twirl,79,frame_0079.png,00079.png,0.8582655500335334,49909,58151
part1,dance-twirl,8,frame_0008.png,00008.png,0.7771155745801778,23601,30370
part1,dance-twirl,80,frame_0080.png,00080.png,0.8610960021756867,50660,58832
part1,dance-twirl,81,frame_0081.png,00081.png,0.8547400105848107,51681,60464
part1,dance-twirl,82,frame_0082.png,00082.png,0.8424362257301222,51980,61702
part1,dance-twirl,83,frame_0083.png,00083.png,0.8279859844019958,51278,61931
part1,dance-twirl,84,frame_0084.png,00084.png,0.7834354838709677,48573,62000
part1,dance-twirl,85,frame_0085.png,00085.png,0.7864076067219122,47639,60578
part1,dance-twirl,86,frame_0086.png,00086.png,0.7752934980206935,45633,58859
part1,dance-twirl,87,frame_0087.png,00087.png,0.6944217556334983,43359,62439
part1,dance-twirl,88,frame_0088.png,00088.png,0.6943167157365444,41977,60458
part1,dance-twirl,89,frame_0089.png,00089.png,0.7415956022270773,42090,56756
part1,dance-twirl,9,frame_0009.png,00009.png,0.7615501566911788,24544,32229
part1,dance-twirl,mean,90,90,0.6800574387949123,,
