phase,sequence,frame_index,evaluation_mode,psnr,ssim,valid_pixels
part1,tennis,0,background_preservation,34.44122796348307,0.9285649876828629,94407
part1,tennis,1,background_preservation,33.80716402133711,0.9234412333964368,95186
part1,tennis,10,background_preservation,33.882471426076336,0.9143793555514432,91792
part1,tennis,11,background_preservation,33.72909621115827,0.9117999080203752,92048
part1,tennis,12,background_preservation,33.733484935607635,0.9135798596155311,91843
part1,tennis,13,background_preservation,33.40478000817204,0.9092352506354836,90463
part1,tennis,14,background_preservation,33.34237802509245,0.9076820567480122,90029
part1,tennis,15,background_preservation,33.53232713512172,0.9116791625526187,89666
part1,tennis,16,background_preservation,33.93873770972013,0.9135754091493598,89192
part1,tennis,17,background_preservation,34.31358892819273,0.9192052398362385,88844
part1,tennis,18,background_preservation,33.96137482984501,0.9166834812156933,88849
part1,tennis,19,background_preservation,34.18826517398644,0.9193650819063252,89062
part1,tennis,2,background_preservation,33.758121341523264,0.922528417046429,94568
part1,tennis,20,background_preservation,34.470182829335656,0.9212354606166407,89678
part1,tennis,21,background_preservation,34.373806313874205,0.921721611421787,89995
part1,tennis,22,background_preservation,34.36263196075952,0.9225730589998515,90152
part1,tennis,23,background_preservation,34.61026332322398,0.9248523594685037,90998
part1,tennis,24,background_preservation,34.44034851367135,0.9246763945264438,90004
part1,tennis,25,background_preservation,34.72372097982728,0.9276477780719331,90675
part1,tennis,26,background_preservation,34.47861573739258,0.9239187286341823,92269
part1,tennis,27,background_preservation,35.03747480396979,0.9303421947174415,92037
part1,tennis,28,background_preservation,34.07285932660798,0.9219281211804072,91482
part1,tennis,29,background_preservation,34.17019404748313,0.9231571905465351,90908
part1,tennis,3,background_preservation,33.67825095781254,0.9188560504078686,94199
part1,tennis,30,background_preservation,34.34800209063265,0.9280296465794599,90121
part1,tennis,31,background_preservation,34.44603581534326,0.9230542665614994,89067
part1,tennis,32,background_preservation,34.12668822480302,0.9221325234098515,88126
part1,tennis,33,background_preservation,34.16940568852782,0.9248288446124354,87670
part1,tennis,34,background_preservation,33.58815576286469,0.9169847102379909,87795
part1,tennis,35,background_preservation,34.23344290320928,0.9214424193974174,87322
part1,tennis,36,background_preservation,33.803857842176,0.918966060096385,87039
part1,tennis,37,background_preservation,33.763873348415494,0.9190204025386713,86548
part1,tennis,38,background_preservation,33.71353738988317,0.9182059809933785,86414
part1,tennis,39,background_preservation,34.1678427214434,0.9220573753261888,86163
part1,tennis,4,background_preservation,34.09749834926532,0.9231440701900963,93981
part1,tennis,40,background_preservation,33.68924279724032,0.9177072459564104,86453
part1,tennis,41,background_preservation,33.793190964288655,0.9187274724795301,86955
part1,tennis,42,background_preservation,33.76651327668003,0.9194286015015142,87660
part1,tennis,43,background_preservation,34.14586616666053,0.9207114206854031,88538
part1,tennis,44,background_preservation,33.5433823618788,0.9163677228534526,89202
part1,tennis,45,background_preservation,33.661751435678795,0.9180603028398667,90888
part1,tennis,46,background_preservation,33.597157953248455,0.9189367163960176,90506
part1,tennis,47,background_preservation,34.027511028504,0.9206477194728281,90492
part1,tennis,48,background_preservation,33.7810121317616,0.9180470819670815,89977
part1,tennis,49,background_preservation,33.713829944085646,0.9195025540272559,90592
part1,tennis,5,background_preservation,33.20094638984217,0.9113435964879107,94337
part1,tennis,50,background_preservation,33.93763824178778,0.922299972247595,91755
part1,tennis,51,background_preservation,34.16206208238466,0.9251265102166814,91900
part1,tennis,52,background_preservation,33.9523524950946,0.9218396321797382,92264
part1,tennis,53,background_preservation,34.08105574457934,0.9226102441673654,91793
part1,tennis,54,background_preservation,33.85560104346001,0.9203574847548013,91470
part1,tennis,55,background_preservation,34.136475436551116,0.9206488717803097,91538
part1,tennis,56,background_preservation,33.713491456241755,0.9154192698971823,91606
part1,tennis,57,background_preservation,33.84246282355951,0.9190269993284083,92046
part1,tennis,58,background_preservation,33.59111696092534,0.9148941913361237,92866
part1,tennis,59,background_preservation,33.81615985244213,0.9175370742612128,93621
part1,tennis,6,background_preservation,33.61446014175496,0.9178488889840007,93805
part1,tennis,60,background_preservation,33.383674171978825,0.9122298993189893,93022
part1,tennis,61,background_preservation,33.522549063667995,0.9133444325995638,93239
part1,tennis,62,background_preservation,33.34772047693135,0.9105933364979237,93625
part1,tennis,63,background_preservation,33.60647755162574,0.9151265442021418,94005
part1,tennis,64,background_preservation,33.07587226724343,0.9072894980093582,93643
part1,tennis,65,background_preservation,32.94124595793562,0.9058113136773732,92718
part1,tennis,66,background_preservation,32.71931668759958,0.9005787985836845,92780
part1,tennis,67,background_preservation,32.83692067819909,0.9023553871561479,92936
part1,tennis,68,background_preservation,32.54877680499659,0.8949544485960351,93399
part1,tennis,69,background_preservation,32.32627232791911,0.8907155446667867,93863
part1,tennis,7,background_preservation,33.13548210742241,0.9088526239006686,92206
part1,tennis,8,background_preservation,33.94218556060658,0.9165734605998003,91517
part1,tennis,9,background_preservation,33.3120580188202,0.9095083067719987,91520
part1,tennis,mean,background_preservation,33.81759341490621,0.9173645408613277,
