phase,sequence,frame_index,predicted_file,reference_file,iou,intersection,union
part1,wild_video_frames,0,frame_0000.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,1,frame_0001.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,2,frame_0002.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,3,frame_0003.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,4,frame_0004.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,5,frame_0005.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,6,frame_0006.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,7,frame_0007.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,8,frame_0008.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,9,frame_0009.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,10,frame_0010.png,phase_consensus_majority_vote,1.0,0,0
part1,wild_video_frames,11,frame_0011.png,phase_consensus_majority_vote,0.0,0,6426
part1,wild_video_frames,12,frame_0012.png,phase_consensus_majority_vote,0.5452476807281639,6230,11426
part1,wild_video_frames,13,frame_0013.png,phase_consensus_majority_vote,0.6560143626570916,10962,16710
part1,wild_video_frames,14,frame_0014.png,phase_consensus_majority_vote,0.7313928940394376,16283,22263
part1,wild_video_frames,15,frame_0015.png,phase_consensus_majority_vote,0.7659399864416455,21467,28027
part1,wild_video_frames,16,frame_0016.png,phase_consensus_majority_vote,0.7947666528998761,26941,33898
part1,wild_video_frames,17,frame_0017.png,phase_consensus_majority_vote,0.8094620703681107,31841,39336
part1,wild_video_frames,18,frame_0018.png,phase_consensus_majority_vote,0.8245705835513594,36244,43955
part1,wild_video_frames,19,frame_0019.png,phase_consensus_majority_vote,0.8067966620190207,38769,48053
part1,wild_video_frames,20,frame_0020.png,phase_consensus_majority_vote,0.7888778550148957,39720,50350
part1,wild_video_frames,21,frame_0021.png,phase_consensus_majority_vote,0.7706047411707789,39821,51675
part1,wild_video_frames,22,frame_0022.png,phase_consensus_majority_vote,0.782705756845391,39619,50618
part1,wild_video_frames,23,frame_0023.png,phase_consensus_majority_vote,0.7286229070855482,36598,50229
part1,wild_video_frames,24,frame_0024.png,phase_consensus_majority_vote,0.7241629396833071,35946,49638
part1,wild_video_frames,25,frame_0025.png,phase_consensus_majority_vote,0.7390769483115658,36047,48773
part1,wild_video_frames,26,frame_0026.png,phase_consensus_majority_vote,0.7270600033428046,34800,47864
part1,wild_video_frames,27,frame_0027.png,phase_consensus_majority_vote,0.7379711135800359,34540,46804
part1,wild_video_frames,28,frame_0028.png,phase_consensus_majority_vote,0.7336107754955923,32788,44694
part1,wild_video_frames,29,frame_0029.png,phase_consensus_majority_vote,0.6910640402950171,30733,44472
part1,wild_video_frames,30,frame_0030.png,phase_consensus_majority_vote,0.692187103764668,30025,43377
part1,wild_video_frames,31,frame_0031.png,phase_consensus_majority_vote,0.6930291153415453,29706,42864
part1,wild_video_frames,32,frame_0032.png,phase_consensus_majority_vote,0.6971983775115556,29564,42404
part1,wild_video_frames,33,frame_0033.png,phase_consensus_majority_vote,0.7066834624708846,29733,42074
part1,wild_video_frames,34,frame_0034.png,phase_consensus_majority_vote,0.7106648562376426,29833,41979
part1,wild_video_frames,35,frame_0035.png,phase_consensus_majority_vote,0.7209680116581858,30179,41859
part1,wild_video_frames,36,frame_0036.png,phase_consensus_majority_vote,0.7615908328139234,31769,41714
part1,wild_video_frames,37,frame_0037.png,phase_consensus_majority_vote,0.7103108870483735,29588,41655
part1,wild_video_frames,38,frame_0038.png,phase_consensus_majority_vote,0.7102872986280415,29717,41838
part1,wild_video_frames,39,frame_0039.png,phase_consensus_majority_vote,0.8227778442397415,34388,41795
part1,wild_video_frames,40,frame_0040.png,phase_consensus_majority_vote,0.7138309497790659,30048,42094
part1,wild_video_frames,41,frame_0041.png,phase_consensus_majority_vote,0.8354966073243966,35339,42297
part1,wild_video_frames,42,frame_0042.png,phase_consensus_majority_vote,0.799822168144699,34182,42737
part1,wild_video_frames,43,frame_0043.png,phase_consensus_majority_vote,0.8017449757130689,34827,43439
part1,wild_video_frames,44,frame_0044.png,phase_consensus_majority_vote,0.7790129046864388,34409,44170
