phase,sequence,frame_index,predicted_file,reference_file,iou,intersection,union
part2,parkour,0,00000.png,00000.png,0.9258586986875175,6631,7162
part2,parkour,1,00001.png,00001.png,0.9072478459199189,7160,7892
part2,parkour,10,00010.png,00010.png,0.9271380345086272,9887,10664
part2,parkour,11,00011.png,00011.png,0.926905132192846,10132,10931
part2,parkour,12,00012.png,00012.png,0.9348516468560022,10303,11021
part2,parkour,13,00013.png,00013.png,0.9355134194375744,10213,10917
part2,parkour,14,00014.png,00014.png,0.9267201193361925,9940,10726
part2,parkour,15,00015.png,00015.png,0.9403632694248234,9319,9910
part2,parkour,16,00016.png,00016.png,0.9500762582613116,9344,9835
part2,parkour,17,00017.png,00017.png,0.9446011097971436,10384,10993
part2,parkour,18,00018.png,00018.png,0.934919466928297,11435,12231
part2,parkour,19,00019.png,00019.png,0.9418045112781955,12526,13300
part2,parkour,2,00002.png,00002.png,0.9081874112636062,7676,8452
part2,parkour,20,00020.png,00020.png,0.9410478809674917,13345,14181
part2,parkour,21,00021.png,00021.png,0.950623734569917,14555,15311
part2,parkour,22,00022.png,00022.png,0.9476845456183555,15778,16649
part2,parkour,23,00023.png,00023.png,0.9467261904761904,15905,16800
part2,parkour,24,00024.png,00024.png,0.942611976630964,15489,16432
part2,parkour,25,00025.png,00025.png,0.9588397967714966,14909,15549
part2,parkour,26,00026.png,00026.png,0.9594701986754967,14488,15100
part2,parkour,27,00027.png,00027.png,0.9493783869939433,14891,15685
part2,parkour,28,00028.png,00028.png,0.9565188351589634,14321,14972
part2,parkour,29,00029.png,00029.png,0.9494532835723172,14501,15273
part2,parkour,3,00003.png,00003.png,0.9014225383418537,8111,8998
part2,parkour,30,00030.png,00030.png,0.9546822113576533,15231,15954
part2,parkour,31,00031.png,00031.png,0.9522323571771484,15868,16664
part2,parkour,32,00032.png,00032.png,0.9465983906364301,16822,17771
part2,parkour,33,00033.png,00033.png,0.956045148686781,17618,18428
part2,parkour,34,00034.png,00034.png,0.9497408512643317,18141,19101
part2,parkour,35,00035.png,00035.png,0.9486133372189033,19531,20589
part2,parkour,36,00036.png,00036.png,0.9479382630730246,20575,21705
part2,parkour,37,00037.png,00037.png,0.9494936034115139,21375,22512
part2,parkour,38,00038.png,00038.png,0.9495561809915566,21930,23095
part2,parkour,39,00039.png,00039.png,0.9450990328983487,22379,23679
part2,parkour,4,00004.png,00004.png,0.9051650235747964,8447,9332
part2,parkour,40,00040.png,00040.png,0.95105460112264,22365,23516
part2,parkour,41,00041.png,00041.png,0.946079295154185,21476,22700
part2,parkour,42,00042.png,00042.png,0.9510877225954988,20242,21283
part2,parkour,43,00043.png,00043.png,0.961276898091758,18941,19704
part2,parkour,44,00044.png,00044.png,0.959728976558658,17564,18301
part2,parkour,45,00045.png,00045.png,0.964435377150419,17491,18136
part2,parkour,46,00046.png,00046.png,0.9653803398443703,18237,18891
part2,parkour,47,00047.png,00047.png,0.9677029206235441,21603,22324
part2,parkour,48,00048.png,00048.png,0.9609349190617773,23270,24216
part2,parkour,49,00049.png,00049.png,0.9593927125506073,23697,24700
part2,parkour,5,00005.png,00005.png,0.8975563909774437,8595,9576
part2,parkour,50,00050.png,00050.png,0.9581857746298588,22457,23437
part2,parkour,51,00051.png,00051.png,0.9575380555162826,20318,21219
part2,parkour,52,00052.png,00052.png,0.9622219857401298,18084,18794
part2,parkour,53,00053.png,00053.png,0.9673314441533444,18092,18703
part2,parkour,54,00054.png,00054.png,0.9390043884923978,21183,22559
part2,parkour,55,00055.png,00055.png,0.9537986358371584,22234,23311
part2,parkour,56,00056.png,00056.png,0.9506454371462312,23345,24557
part2,parkour,57,00057.png,00057.png,0.9571467004881048,24904,26019
part2,parkour,58,00058.png,00058.png,0.9582378405907818,26341,27489
part2,parkour,59,00059.png,00059.png,0.9630820864214795,27548,28604
part2,parkour,6,00006.png,00006.png,0.9263667965869589,8794,9493
part2,parkour,60,00060.png,00060.png,0.9463557044753342,28526,30143
