phase,sequence,frame_index,predicted_file,reference_file,iou,intersection,union
part3,bmx-trees,0,00000.png,00000.png,0.6487872214553343,3290,5071
part3,bmx-trees,1,00001.png,00001.png,0.6978123083214066,3413,4891
part3,bmx-trees,10,00010.png,00010.png,0.676364327818977,3557,5259
part3,bmx-trees,11,00011.png,00011.png,0.6852066434916957,3548,5178
part3,bmx-trees,12,00012.png,00012.png,0.6765514532600158,3445,5092
part3,bmx-trees,13,00013.png,00013.png,0.7108352144469526,3149,4430
part3,bmx-trees,14,00014.png,00014.png,0.5465935787000783,2792,5108
part3,bmx-trees,15,00015.png,00015.png,0.4477933261571582,1664,3716
part3,bmx-trees,16,00016.png,00016.png,0.547641073080481,1776,3243
part3,bmx-trees,17,00017.png,00017.png,0.5373333333333333,1612,3000
part3,bmx-trees,18,00018.png,00018.png,0.6494077834179357,1919,2955
part3,bmx-trees,19,00019.png,00019.png,0.7542539267015707,2305,3056
part3,bmx-trees,2,00002.png,00002.png,0.7125811178563952,3404,4777
part3,bmx-trees,20,00020.png,00020.png,0.7283082077051927,2174,2985
part3,bmx-trees,21,00021.png,00021.png,0.6746626686656672,2250,3335
part3,bmx-trees,22,00022.png,00022.png,0.6633136094674557,2242,3380
part3,bmx-trees,23,00023.png,00023.png,0.6951716114019779,2390,3438
part3,bmx-trees,24,00024.png,00024.png,0.75,2616,3488
part3,bmx-trees,25,00025.png,00025.png,0.7112655661743411,2456,3453
part3,bmx-trees,26,00026.png,00026.png,0.6803414096916299,2471,3632
part3,bmx-trees,27,00027.png,00027.png,0.6989030023094688,2421,3464
part3,bmx-trees,28,00028.png,00028.png,0.5022133687472333,2269,4518
part3,bmx-trees,29,00029.png,00029.png,0.6689617185348389,2429,3631
part3,bmx-trees,3,00003.png,00003.png,0.5744197370556727,3539,6161
part3,bmx-trees,30,00030.png,00030.png,0.6449120937666489,2421,3754
part3,bmx-trees,31,00031.png,00031.png,0.6620273109243697,2521,3808
part3,bmx-trees,32,00032.png,00032.png,0.6961683756071236,2580,3706
part3,bmx-trees,33,00033.png,00033.png,0.6922650401996119,2497,3607
part3,bmx-trees,34,00034.png,00034.png,0.4830508474576271,2223,4602
part3,bmx-trees,35,00035.png,00035.png,0.5638056883966776,2240,3973
part3,bmx-trees,36,00036.png,00036.png,0.5447761194029851,2263,4154
part3,bmx-trees,37,00037.png,00037.png,0.6522574447646494,2037,3123
part3,bmx-trees,38,00038.png,00038.png,0.6848301379078372,2036,2973
part3,bmx-trees,39,00039.png,00039.png,0.5483689538807649,1950,3556
part3,bmx-trees,4,00004.png,00004.png,0.5717661887505908,3629,6347
part3,bmx-trees,40,00040.png,00040.png,0.5825771324863884,1926,3306
part3,bmx-trees,41,00041.png,00041.png,0.6008690254500311,1936,3222
part3,bmx-trees,42,00042.png,00042.png,0.6480614973262032,1939,2992
part3,bmx-trees,43,00043.png,00043.png,0.6268560361523564,1942,3098
part3,bmx-trees,44,00044.png,00044.png,0.6372168284789644,1969,3090
part3,bmx-trees,45,00045.png,00045.png,0.655065472088215,1901,2902
part3,bmx-trees,46,00046.png,00046.png,0.6559474412171508,1897,2892
part3,bmx-trees,47,00047.png,00047.png,0.6322839919624916,1888,2986
part3,bmx-trees,48,00048.png,00048.png,0.5582554517133956,1792,3210
part3,bmx-trees,49,00049.png,00049.png,0.49841772151898733,1575,3160
part3,bmx-trees,5,00005.png,00005.png,0.6093880972338642,3635,5965
part3,bmx-trees,50,00050.png,00050.png,0.6068162926018288,1460,2406
part3,bmx-trees,51,00051.png,00051.png,0.5535636204634893,1266,2287
part3,bmx-trees,52,00052.png,00052.png,0.5035595633602278,1061,2107
part3,bmx-trees,53,00053.png,00053.png,0.4672395273899033,870,1862
part3,bmx-trees,54,00054.png,00054.png,0.4717626925270964,827,1753
part3,bmx-trees,55,00055.png,00055.png,0.5003021148036254,828,1655
part3,bmx-trees,56,00056.png,00056.png,0.5571128241065172,795,1427
part3,bmx-trees,57,00057.png,00057.png,0.5482166446499339,830,1514
part3,bmx-trees,58,00058.png,00058.png,0.6292974588938715,842,1338
part3,bmx-trees,59,00059.png,00059.png,0.5471167369901547,778,1422
part3,bmx-trees,6,00006.png,00006.png,0.6182777399591559,3633,5876
part3,bmx-trees,60,00060.png,00060.png,0.39780600461893767,689,1732
part3,bmx-trees,61,00061.png,00061.png,0.35447761194029853,475,1340
part3,bmx-trees,62,00062.png,00062.png,0.36118363794604,415,1149
part3,bmx-trees,63,00063.png,00063.png,0.35985130111524166,484,1345
part3,bmx-trees,64,00064.png,00064.png,0.4703125,602,1280
part3,bmx-trees,65,00065.png,00065.png,0.40511440107671604,602,1486
part3,bmx-trees,66,00066.png,00066.png,0.4226988382484361,473,1119
part3,bmx-trees,67,00067.png,00067.png,0.31145935357492655,318,1021
part3,bmx-trees,68,00068.png,00068.png,0.46551724137931033,324,696
part3,bmx-trees,69,00069.png,00069.png,0.5520945220193341,514,931
part3,bmx-trees,7,00007.png,00007.png,0.5550239234449761,3364,6061
part3,bmx-trees,70,00070.png,00070.png,0.6886543535620053,783,1137
part3,bmx-trees,71,00071.png,00071.png,0.7280638143582306,1004,1379
part3,bmx-trees,72,00072.png,00072.png,0.5593487394957983,1065,1904
part3,bmx-trees,73,00073.png,00073.png,0.7206666666666667,1081,1500
part3,bmx-trees,74,00074.png,00074.png,0.5828288387451843,1059,1817
part3,bmx-trees,75,00075.png,00075.png,0.5812395309882747,1041,1791
part3,bmx-trees,76,00076.png,00076.png,0.6163484486873508,1033,1676
part3,bmx-trees,77,00077.png,00077.png,0.7771942985746436,1036,1333
part3,bmx-trees,78,00078.png,00078.png,0.5833333333333334,1050,1800
part3,bmx-trees,79,00079.png,00079.png,0.5931401537551745,1003,1691
part3,bmx-trees,8,00008.png,00008.png,0.5347905890205239,3205,5993
part3,bmx-trees,9,00009.png,00009.png,0.686726659167604,3663,5334
part3,bmx-trees,mean,80,80,0.592487863524332,,
