phase,sequence,frame_index,evaluation_mode,psnr,ssim,valid_pixels
part3,bmx-trees,0,background_preservation,32.075936145284636,0.8745004327657192,98609
part3,bmx-trees,1,background_preservation,32.12000394424457,0.87403359718996,98789
part3,bmx-trees,10,background_preservation,32.33405390220491,0.8773628384606974,98421
part3,bmx-trees,11,background_preservation,32.610943738137976,0.8841250515456373,98502
part3,bmx-trees,12,background_preservation,32.607089168433106,0.8826245444262527,98588
part3,bmx-trees,13,background_preservation,32.422879643635085,0.8825979349527864,99250
part3,bmx-trees,14,background_preservation,32.42264832738579,0.890332157667433,98572
part3,bmx-trees,15,background_preservation,32.234137771748294,0.8862830188400468,99964
part3,bmx-trees,16,background_preservation,32.4777827908468,0.8837905510576565,100437
part3,bmx-trees,17,background_preservation,32.86537817840782,0.8901870736402974,100680
part3,bmx-trees,18,background_preservation,32.78256066284979,0.8891363631633878,100725
part3,bmx-trees,19,background_preservation,32.6886728159964,0.8885347139029766,100624
part3,bmx-trees,2,background_preservation,31.99685426822096,0.86971134195011,98903
part3,bmx-trees,20,background_preservation,32.6862748264436,0.888792129430536,100695
part3,bmx-trees,21,background_preservation,32.295165712875054,0.8835935027074491,100345
part3,bmx-trees,22,background_preservation,32.0672704133808,0.8804303063598831,100300
part3,bmx-trees,23,background_preservation,32.47434370281931,0.8862537095352002,100242
part3,bmx-trees,24,background_preservation,32.50583084941019,0.8886155834359217,100192
part3,bmx-trees,25,background_preservation,32.36764362578028,0.8895341659605449,100227
part3,bmx-trees,26,background_preservation,32.08708333966578,0.8874578005819383,100048
part3,bmx-trees,27,background_preservation,31.619121964864775,0.8832964137964768,100216
part3,bmx-trees,28,background_preservation,31.15832397682067,0.8803017627661772,99162
part3,bmx-trees,29,background_preservation,30.61335812574628,0.8703326054589242,100049
part3,bmx-trees,3,background_preservation,31.931796042368525,0.8697113703771813,97519
part3,bmx-trees,30,background_preservation,31.531838029733997,0.8870634339507298,99926
part3,bmx-trees,31,background_preservation,31.8969073287783,0.8897898587881286,99872
part3,bmx-trees,32,background_preservation,31.836149246253733,0.8889977697901157,99974
part3,bmx-trees,33,background_preservation,30.951203809547223,0.8796210378460874,100073
part3,bmx-trees,34,background_preservation,28.777254680871525,0.853976088842282,99078
part3,bmx-trees,35,background_preservation,29.481042100769354,0.8683363176597767,99707
part3,bmx-trees,36,background_preservation,30.517797976212155,0.8869339000575761,99526
part3,bmx-trees,37,background_preservation,30.65966467876099,0.8854319236845395,100557
part3,bmx-trees,38,background_preservation,30.266832213039926,0.8776787530173321,100707
part3,bmx-trees,39,background_preservation,29.964415553502857,0.8735162450819147,100124
part3,bmx-trees,4,background_preservation,31.91678521247912,0.869356518550323,97333
part3,bmx-trees,40,background_preservation,29.619296664092882,0.8666543987734859,100374
part3,bmx-trees,41,background_preservation,29.938291003894367,0.8722875903666434,100458
part3,bmx-trees,42,background_preservation,30.343444092486923,0.875400370794094,100688
part3,bmx-trees,43,background_preservation,30.624292842609925,0.8800505621346182,100582
part3,bmx-trees,44,background_preservation,30.446189171597357,0.8774334794719448,100590
part3,bmx-trees,45,background_preservation,30.059818369839604,0.8691866474655501,100778
part3,bmx-trees,46,background_preservation,29.98568067635708,0.8674405854707234,100788
part3,bmx-trees,47,background_preservation,29.796346327746903,0.8685888880635763,100694
part3,bmx-trees,48,background_preservation,30.56711691917783,0.8819912418288288,100470
part3,bmx-trees,49,background_preservation,30.18029652793414,0.8777721399419828,100520
part3,bmx-trees,5,background_preservation,31.79227333359363,0.8687447989555773,97715
part3,bmx-trees,50,background_preservation,29.905415567824083,0.871798515854596,101274
part3,bmx-trees,51,background_preservation,28.71918128031815,0.839335453116033,101393
part3,bmx-trees,52,background_preservation,28.324066417161806,0.8248858210458682,101573
part3,bmx-trees,53,background_preservation,29.315183497531944,0.8541550677181098,101818
part3,bmx-trees,54,background_preservation,30.718215222462753,0.8783176132490313,101927
part3,bmx-trees,55,background_preservation,31.2927333754457,0.884944059393472,102025
part3,bmx-trees,56,background_preservation,30.685101702784735,0.8718549953875956,102253
part3,bmx-trees,57,background_preservation,28.10746876679054,0.7993793841081548,102166
part3,bmx-trees,58,background_preservation,27.513201877700798,0.779129736200204,102342
part3,bmx-trees,59,background_preservation,28.055088863751433,0.7979132955654867,102258
part3,bmx-trees,6,background_preservation,31.783208613869537,0.8697487321595114,97804
part3,bmx-trees,60,background_preservation,30.65107768875582,0.8690933866477456,101948
part3,bmx-trees,61,background_preservation,31.059079657747667,0.8770153985585226,102340
part3,bmx-trees,62,background_preservation,30.760856068700328,0.8722758515170539,102531
part3,bmx-trees,63,background_preservation,27.80725654624374,0.7926680255777995,102335
part3,bmx-trees,64,background_preservation,28.066066859958866,0.8002038674936575,102400
part3,bmx-trees,65,background_preservation,28.42480741622914,0.809776732260614,102194
part3,bmx-trees,66,background_preservation,28.57559254203283,0.8125706641429703,102561
part3,bmx-trees,67,background_preservation,28.813789653875496,0.8191497927245959,102659
part3,bmx-trees,68,background_preservation,28.327801417040018,0.8004230290985337,102984
part3,bmx-trees,69,background_preservation,28.151267094172173,0.7945650850454462,102749
part3,bmx-trees,7,background_preservation,31.817175591792168,0.8707659616259079,97619
part3,bmx-trees,70,background_preservation,28.27026241363362,0.8002395371171095,102543
part3,bmx-trees,71,background_preservation,28.11187341853667,0.7942567349946852,102301
part3,bmx-trees,72,background_preservation,28.143311152837082,0.7949693325251967,101776
part3,bmx-trees,73,background_preservation,28.133173649431917,0.789264257694123,102180
part3,bmx-trees,74,background_preservation,28.09783438143208,0.7828180339537748,101863
part3,bmx-trees,75,background_preservation,28.21460131549255,0.7872165083338366,101889
part3,bmx-trees,76,background_preservation,28.276011342208736,0.7871262140481576,102004
part3,bmx-trees,77,background_preservation,28.22735385512928,0.7872641271139794,102347
part3,bmx-trees,78,background_preservation,27.972617187414052,0.7742666917092841,101880
part3,bmx-trees,79,background_preservation,27.861780861351672,0.7704808236351015,101989
part3,bmx-trees,8,background_preservation,31.70763616070096,0.8722361756672397,97687
