phase,sequence,frame_index,evaluation_mode,psnr,ssim,valid_pixels
part3,dance-twirl,0,background_preservation,27.31338585362362,0.7013081551412648,385849
part3,dance-twirl,1,background_preservation,27.145605592686998,0.6924231326074299,385226
part3,dance-twirl,10,background_preservation,29.192949154074196,0.7893963194415118,379035
part3,dance-twirl,11,background_preservation,29.076861893250044,0.7787238782192961,378237
part3,dance-twirl,12,background_preservation,29.09546947022896,0.7847095577687189,377217
part3,dance-twirl,13,background_preservation,28.719637938204766,0.7799280897125757,376473
part3,dance-twirl,14,background_preservation,28.751707286642645,0.7830816824651619,377657
part3,dance-twirl,15,background_preservation,29.215377311033194,0.8096637615445983,378091
part3,dance-twirl,16,background_preservation,29.723669680257352,0.8352436592389294,381157
part3,dance-twirl,17,background_preservation,29.410494616405135,0.8144714587247571,384033
part3,dance-twirl,18,background_preservation,28.92690543623806,0.806188974537449,385050
part3,dance-twirl,19,background_preservation,29.69646842372289,0.8469731726147516,385925
part3,dance-twirl,2,background_preservation,27.327981012327765,0.7009728152296881,384575
part3,dance-twirl,20,background_preservation,30.559297731770563,0.8530926717859358,386669
part3,dance-twirl,21,background_preservation,30.683035429078437,0.8555035323472752,386293
part3,dance-twirl,22,background_preservation,29.14232678499439,0.8038977323537804,386469
part3,dance-twirl,23,background_preservation,28.30180238454893,0.7882546255634921,388744
part3,dance-twirl,24,background_preservation,29.831913410469134,0.8411513843108925,387488
part3,dance-twirl,25,background_preservation,30.352247190813227,0.8455113398516713,386323
part3,dance-twirl,26,background_preservation,30.03729908247045,0.8283480897134378,385810
part3,dance-twirl,27,background_preservation,29.78360433395239,0.8362797659827874,384379
part3,dance-twirl,28,background_preservation,28.73585531135306,0.8059346278702353,383522
part3,dance-twirl,29,background_preservation,29.03721542302129,0.8103933429364804,380938
part3,dance-twirl,3,background_preservation,28.046210244895377,0.7319835810839482,383822
part3,dance-twirl,30,background_preservation,29.147967933626926,0.8121010114946036,379830
part3,dance-twirl,31,background_preservation,28.588747950982217,0.7945899529111197,379112
part3,dance-twirl,32,background_preservation,28.087749311113242,0.7840325042998291,378472
part3,dance-twirl,33,background_preservation,28.99050774869046,0.8122015470912083,378108
part3,dance-twirl,34,background_preservation,29.14795882648208,0.8172484072193342,378465
part3,dance-twirl,35,background_preservation,29.04199387823559,0.8065745582466294,381162
part3,dance-twirl,36,background_preservation,28.78408277883487,0.7961844285998234,382710
part3,dance-twirl,37,background_preservation,27.125728594163903,0.7271187275838695,383879
part3,dance-twirl,38,background_preservation,25.649524849007065,0.6900153253219528,383772
part3,dance-twirl,39,background_preservation,26.62858459905,0.7254676242605274,380422
part3,dance-twirl,4,background_preservation,27.9590344678429,0.7403986319453648,383920
part3,dance-twirl,40,background_preservation,27.006176633886103,0.7347294687340401,378198
part3,dance-twirl,41,background_preservation,27.320271385314257,0.7414654280235523,376101
part3,dance-twirl,42,background_preservation,26.104943554784505,0.7104574591090727,373465
part3,dance-twirl,43,background_preservation,26.549536685107245,0.7246995767128133,371896
part3,dance-twirl,44,background_preservation,26.489571373172183,0.7255696151621707,371541
