phase,sequence,frame_index,predicted_file,reference_file,iou,intersection,union
part3,tennis,0,00000.png,00000.png,0.4591991341991342,4243,9240
part3,tennis,1,00001.png,00001.png,0.5189963309267369,4385,8449
part3,tennis,10,00010.png,00010.png,0.5498727146493867,4752,8642
part3,tennis,11,00011.png,00011.png,0.5601918465227818,4672,8340
part3,tennis,12,00012.png,00012.png,0.558391524199374,4638,8306
part3,tennis,13,00013.png,00013.png,0.5357179460899867,5227,9757
part3,tennis,14,00014.png,00014.png,0.5322158705551787,5493,10321
part3,tennis,15,00015.png,00015.png,0.4976347277618032,5365,10781
part3,tennis,16,00016.png,00016.png,0.48612099644128115,5464,11240
part3,tennis,17,00017.png,00017.png,0.48910976663785655,5659,11570
part3,tennis,18,00018.png,00018.png,0.5095102848782167,5920,11619
part3,tennis,19,00019.png,00019.png,0.5296942127874652,6288,11871
part3,tennis,2,00002.png,00002.png,0.5263096077049565,4481,8514
part3,tennis,20,00020.png,00020.png,0.5590975130330741,6542,11701
part3,tennis,21,00021.png,00021.png,0.5727368791828108,6504,11356
part3,tennis,22,00022.png,00022.png,0.5342010771992819,5951,11140
part3,tennis,23,00023.png,00023.png,0.4941210485736315,5127,10376
part3,tennis,24,00024.png,00024.png,0.5005491256230464,5925,11837
part3,tennis,25,00025.png,00025.png,0.509937729250192,5978,11723
part3,tennis,26,00026.png,00026.png,0.632007854688267,6437,10185
part3,tennis,27,00027.png,00027.png,0.6230903113517695,6444,10342
part3,tennis,28,00028.png,00028.png,0.5435958558723756,5929,10907
part3,tennis,29,00029.png,00029.png,0.5129283898676483,5852,11409
part3,tennis,3,00003.png,00003.png,0.5360873136955756,4568,8521
part3,tennis,30,00030.png,00030.png,0.5071924183448976,5994,11818
part3,tennis,31,00031.png,00031.png,0.491489023226217,6179,12572
part3,tennis,32,00032.png,00032.png,0.4907308104795465,6406,13054
part3,tennis,33,00033.png,00033.png,0.500765345170672,6543,13066
part3,tennis,34,00034.png,00034.png,0.496868149076104,6346,12772
part3,tennis,35,00035.png,00035.png,0.528071108409937,6951,13163
part3,tennis,36,00036.png,00036.png,0.5173753830057545,6923,13381
part3,tennis,37,00037.png,00037.png,0.4994276720560881,6981,13978
part3,tennis,38,00038.png,00038.png,0.48020605461858723,6805,14171
part3,tennis,39,00039.png,00039.png,0.48193436960276337,6976,14475
part3,tennis,4,00004.png,00004.png,0.5585131894484412,4658,8340
part3,tennis,40,00040.png,00040.png,0.4859515570934256,7022,14450
part3,tennis,41,00041.png,00041.png,0.4789216697613644,6964,14541
part3,tennis,42,00042.png,00042.png,0.4968293551834699,6973,14035
part3,tennis,43,00043.png,00043.png,0.5048471841929993,6822,13513
part3,tennis,44,00044.png,00044.png,0.49817601459188326,6555,13158
part3,tennis,45,00045.png,00045.png,0.5491577861808181,6390,11636
part3,tennis,46,00046.png,00046.png,0.5329702071469836,6458,12117
part3,tennis,47,00047.png,00047.png,0.5324147817776362,6685,12556
part3,tennis,48,00048.png,00048.png,0.527621107934791,6829,12943
part3,tennis,49,00049.png,00049.png,0.5536866171307259,6781,12247
part3,tennis,5,00005.png,00005.png,0.5826337880377754,4442,7624
part3,tennis,50,00050.png,00050.png,0.5905156869816084,6550,11092
part3,tennis,51,00051.png,00051.png,0.581057788260909,6405,11023
part3,tennis,52,00052.png,00052.png,0.5826488232579603,6313,10835
part3,tennis,53,00053.png,00053.png,0.6013341525498113,6851,11393
part3,tennis,54,00054.png,00054.png,0.5751707443589522,6653,11567
part3,tennis,55,00055.png,00055.png,0.5637413596990113,6443,11429
part3,tennis,56,00056.png,00056.png,0.5577345879869844,6342,11371
part3,tennis,57,00057.png,00057.png,0.5835079726651481,6404,10975
part3,tennis,58,00058.png,00058.png,0.6134329825941587,6238,10169
part3,tennis,59,00059.png,00059.png,0.597344662772172,5624,9415
part3,tennis,6,00006.png,00006.png,0.5653110350943874,4462,7893
part3,tennis,60,00060.png,00060.png,0.5918204488778055,5933,10025
part3,tennis,61,00061.png,00061.png,0.5863058630586306,5720,9756
part3,tennis,62,00062.png,00062.png,0.586979836979837,5473,9324
part3,tennis,63,00063.png,00063.png,0.5862574748956335,5196,8863
part3,tennis,64,00064.png,00064.png,0.5984484265734266,5477,9152
part3,tennis,65,00065.png,00065.png,0.546076099881094,5511,10092
part3,tennis,66,00066.png,00066.png,0.5179856115107914,5184,10008
part3,tennis,67,00067.png,00067.png,0.5256852791878173,5178,9850
part3,tennis,68,00068.png,00068.png,0.5652864555755586,5338,9443
part3,tennis,69,00069.png,00069.png,0.5899296639499833,5284,8957
part3,tennis,7,00007.png,00007.png,0.5288929096460477,4677,8843
part3,tennis,8,00008.png,00008.png,0.5110988404196577,4628,9055
part3,tennis,9,00009.png,00009.png,0.5171290576210266,4604,8903
part3,tennis,mean,70,70,0.5390113916937304,,
