sequence,phase,sequence_label,phase_label,n_frames,mean_iou,median_iou,std_iou,q1_iou,q3_iou,min_iou,max_iou,sum_intersection,sum_union,weighted_iou,evaluation_mode,mean_psnr,median_psnr,std_psnr,q1_psnr,q3_psnr,mean_ssim,median_ssim,std_ssim,q1_ssim,q3_ssim,mean_valid_pixels,min_valid_pixels,max_valid_pixels
bmx-trees,part1,BMX-Trees,Part 1 Baseline,80,0.43139124615852287,0.5074118132733653,0.18218683114623005,0.3821957954114524,0.5536123927542139,0.0,0.6554959785522788,121167.0,249135.0,0.48635077367692214,background_preservation,32.09360426424606,32.10877611444214,0.8703376081967305,31.572654942621877,32.798061745813406,0.9070404419771686,0.9089948786605659,0.00982637231643666,0.8994726882892572,0.9142461894616982,100565.8125,97378.0,103311.0
bmx-trees,part2,BMX-Trees,Part 2 SOTA,80,0.6204204387972385,0.6557031244356901,0.09287498144122175,0.5837389662867546,0.6798124182647037,0.3525881470367591,0.7529373368146214,151281.0,235949.0,0.6411597421476675,background_preservation,30.46468288550799,30.663187620370053,1.6912327191008445,28.69198571044915,32.00412137293495,0.8555458944182972,0.8734278888442111,0.038411245002942816,0.8222142421002022,0.8833537587146607,100730.6375,98183.0,102984.0
bmx-trees,part3,BMX-Trees,Part 3 Exploration,80,0.592487863524332,0.6038426590259299,0.10356039010665938,0.546139213875805,0.6764111091792367,0.3114593535749265,0.7771942985746436,150401.0,246849.0,0.6092834080753822,background_preservation,30.46195507612789,30.637685265682872,1.6817926971884452,28.68328409574682,32.01445830451092,0.8556451687381479,0.8722560135921468,0.03793209317210043,0.8234518139655501,0.8827925117688087,100594.3875,97333.0,102984.0
dance-twirl,part1,Dance Twirl,Part 1 Baseline,90,0.6800574387949123,0.7022760885782955,0.1210122072031257,0.6121643756566546,0.7607208047194772,0.1755230918199806,0.8610960021756867,2638808.0,3868288.0,0.6821643062770921,background_preservation,33.61930950880638,33.521805799795686,0.8021788049539964,33.038222072166015,34.167472328486795,0.9248247810227608,0.9259789113490675,0.012276833094750734,0.9159037712813474,0.933521325392338,366939.02222222224,291155.0,381697.0
dance-twirl,part2,Dance Twirl,Part 2 SOTA,90,0.917871940289668,0.924216344734544,0.03181804763073139,0.9050085770640863,0.9385381409838403,0.8142633949085561,0.960591556561864,3078366.0,3336604.0,0.922604540424935,background_preservation,27.595036602083887,27.4316820745267,1.4602835300069916,26.30976616093072,28.912750410117987,0.7508497026613217,0.7408810644163142,0.05552985957158681,0.7070779940709894,0.800497052498505,372846.6222222222,349049.0,389206.0
dance-twirl,part3,Dance Twirl,Part 3 Exploration,90,0.8990917121088194,0.9103508541780384,0.0531178074236995,0.8779266551881237,0.9377032533958839,0.6946507204460772,0.9718633562001602,2964925.0,3278442.0,0.9043701245896679,background_preservation,27.555510684571182,27.415088817310064,1.4625268330161298,26.27541201297197,28.765767704560794,0.7509391109982235,0.7418772370555471,0.05536133471564377,0.7072090185336829,0.8001688237477638,373492.86666666664,350983.0,388744.0
parkour,part1,Parkour,Part 1 Baseline,100,0.704360194789776,0.7088251308425713,0.06227217620377618,0.6650231732573005,0.7505805506765273,0.5199220825216929,0.8066858696093148,1430108.0,2040714.0,0.7007880575132037,background_preservation,32.97043512504978,33.0047984588272,1.2014397293022165,31.87716450358546,34.13059165368512,0.9239803410609244,0.9224459667270717,0.008012191913760161,0.9189357538776411,0.9294565775196919,389512.86,374361.0,401492.0
parkour,part2,Parkour,Part 2 SOTA,100,0.9458466944839653,0.9495248922015354,0.017474025576594884,0.9368516698719814,0.9593190964595544,0.8975563909774437,0.970386234399232,1678212.0,1767893.0,0.9492723824349099,background_preservation,26.878060671402658,27.124608712196938,1.4831894782602575,25.379251909138603,28.30094056766221,0.7365123267176101,0.7509832975608628,0.044695416261759234,0.6903241397157047,0.7815390481596238,392241.07,379777.0,402758.0
parkour,part3,Parkour,Part 3 Exploration,100,0.9199434470777671,0.9322654074377625,0.04291050750097562,0.8942135472911266,0.9538723694475355,0.7575003886211721,0.968620246187764,1682050.0,1818120.0,0.9251589554044838,background_preservation,26.8725668630474,27.11639148895387,1.4795048434858065,25.375579021514834,28.26279049349043,0.7365264954894241,0.7506469565536191,0.044478153938158224,0.6911904825723378,0.7818625240996401,391738.8,380132.0,402394.0
tennis,part1,Tennis,Part 1 Baseline,70,0.37163295893231396,0.3737911574582963,0.03839701068647508,0.34247508257979487,0.3975378952386654,0.2948634590377113,0.4621615860157749,288500.0,782020.0,0.3689163960001023,background_preservation,33.84319501102604,33.83060940870955,0.5365451797285773,33.59608149139087,34.15613402094053,0.9172270355334854,0.9184789029934586,0.007241472637761747,0.9149301505855478,0.9219523534474833,92508.28571428571,88998.0,95596.0
tennis,part2,Tennis,Part 2 SOTA,70,0.5520621043330756,0.5537223534917017,0.0489695854276719,0.5088227897329219,0.5877620728018952,0.4574835932538282,0.6373239436619719,419648.0,767229.0,0.5469657690207226,background_preservation,34.22084114770492,34.176439191334765,0.593824815326961,33.911911642333685,34.53781629127543,0.924981749418866,0.9254421817105851,0.007340259085890682,0.9219562179697134,0.9289290462189606,92719.58571428571,89139.0,96056.0
tennis,part3,Tennis,Part 3 Exploration,70,0.4982656770265248,0.5385225037064447,0.1027541772194847,0.3966420945688495,0.5877620728018952,0.3252416907769388,0.6373239436619719,377323.0,767314.0,0.4917452307660228,background_preservation,34.21557495618158,34.17066634600772,0.5888936890877079,33.92177035635513,34.55388084243928,0.9244990465973763,0.9247321946258108,0.007295818228609664,0.9217450371876162,0.9289209469065932,92718.37142857142,89139.0,96056.0
wild_video_frames,part1,Wild Video,Part 1 Baseline,137,0.7671791770465543,0.7612575172346355,0.21591120800543825,0.7042462674586611,1.0,0.0,1.0,3075000.0,4271164.0,0.7199442587547563,background_preservation,33.99397114933284,34.19631526582303,1.3718983583371633,32.86051972977652,34.87042243222508,0.9681474236249964,0.9684522943009728,0.009876333327509838,0.9608266957023154,0.9759051714032522,383636.9489051095,354055.0,409920.0
wild_video_frames,part2,Wild Video,Part 2 SOTA,137,0.9773054980916257,0.9902505772684512,0.03346362117942217,0.9723539544478234,1.0,0.8458149779735683,1.0,3650666.0,3756593.0,0.9718023751841096,background_preservation,23.161242569163583,23.205918073870247,0.6657616480459425,22.916050246244048,23.364239229423625,0.49539091903996685,0.5040816641246105,0.03500036701803571,0.4714875405899899,0.5218427093361292,383191.0,351455.0,409920.0
wild_video_frames,part3,Wild Video,Part 3 Exploration,137,0.9730651873488159,0.9913026957421208,0.0439210678213147,0.9693125712115458,1.0,0.7586918939684979,1.0,3723867.0,3892203.0,0.9567504572603227,background_preservation,23.147035173950538,23.225537953796035,0.6907292404309625,22.85993129827272,23.39067974445321,0.495676253026926,0.5029628553680493,0.03600535919691265,0.4712652950664147,0.5213943213166489,381666.8321167883,343661.0,409920.0
