sequence,sequence_label,phase_from,phase_to,pair_label,n_frames,mean_iou,median_iou,std_iou,improved_iou,worsened_iou,equal_iou,mean_psnr,median_psnr,std_psnr,improved_psnr,worsened_psnr,equal_psnr,mean_ssim,median_ssim,std_ssim,improved_ssim,worsened_ssim,equal_ssim
bmx-trees,BMX-Trees,part1,part2,Part 1 Baseline -> Part 2 SOTA,80,0.18902919263871554,0.14399388893574272,0.1293081405893955,80,0,0,-1.6289213787380716,-1.382148060523436,1.0451885576286912,0,80,0,-0.051494547558871485,-0.03754554886903533,0.03694348440928349,0,80,0
bmx-trees,BMX-Trees,part1,part3,Part 1 Baseline -> Part 3 Exploration,80,0.16109661736580905,0.1224595976268189,0.15055877578845003,72,8,0,-1.6316491881181754,-1.3992114866872143,1.0309957105503906,0,80,0,-0.05139527323902064,-0.03709388954804155,0.03653908117268316,0,80,0
bmx-trees,BMX-Trees,part2,part3,Part 2 SOTA -> Part 3 Exploration,80,-0.0279325752729065,0.0,0.06360416900099203,35,38,7,-0.0027278093801035297,0.007154422018153639,0.09764822304671432,47,33,0,9.927431985084084e-05,0.00014677415425323748,0.002262131966175877,43,37,0
dance-twirl,Dance Twirl,part1,part2,Part 1 Baseline -> Part 2 SOTA,90,0.23781450149475572,0.21645837860482103,0.10747391830647873,90,0,0,-6.024272906722495,-6.17452056026546,1.2197658889465566,0,90,0,-0.17397507836143905,-0.17747041708089134,0.05940459155242673,0,90,0
dance-twirl,Dance Twirl,part1,part3,Part 1 Baseline -> Part 3 Exploration,90,0.21903427331390707,0.19267620271557595,0.11119702527794977,90,0,0,-6.0637988242352,-6.2511264465315985,1.2131333862251024,0,90,0,-0.17388567002453711,-0.1788393450120031,0.05920642086359903,0,90,0
dance-twirl,Dance Twirl,part2,part3,Part 2 SOTA -> Part 3 Exploration,90,-0.01878022818084867,-0.006787324482371793,0.051774816138694946,35,55,0,-0.03952591751270364,-0.035854320966686615,0.06274980271229982,21,69,0,8.940833690193544e-05,-1.6246707768285962e-05,0.0012460053461044265,43,47,0
parkour,Parkour,part1,part2,Part 1 Baseline -> Part 2 SOTA,100,0.2414864996941892,0.234494858239091,0.06500340564013132,100,0,0,-6.092374453647118,-6.074057032171332,0.560424768576867,0,100,0,-0.1874680143433143,-0.17654299328050027,0.04532098901470084,0,100,0
parkour,Parkour,part1,part3,Part 1 Baseline -> Part 3 Exploration,100,0.215583252287991,0.21116395661338844,0.07696633703635612,100,0,0,-6.097868262002379,-6.074930092322925,0.5585753674218052,0,100,0,-0.18745384557150024,-0.17651093432359527,0.045097299381357515,0,100,0
parkour,Parkour,part2,part3,Part 2 SOTA -> Part 3 Exploration,100,-0.025903247406198156,-0.015530544447093175,0.035501937981694105,20,80,0,-0.0054938083552595884,-0.0010420438822364986,0.03136077473050225,45,55,0,1.4168771814030422e-05,-2.7674699896229615e-05,0.0013710796563550245,49,51,0
tennis,Tennis,part1,part2,Part 1 Baseline -> Part 2 SOTA,70,0.18042914540076163,0.1858744424074554,0.043327824731715134,70,0,0,0.37764613667887,0.3628925333937083,0.2626004090584536,64,6,0,0.007754713885380575,0.007933082192039087,0.0023012432737335854,70,0,0
tennis,Tennis,part1,part3,Part 1 Baseline -> Part 3 Exploration,70,0.1266327180942108,0.15781893721295304,0.09261027246738505,65,5,0,0.3723799451555348,0.37828132561861594,0.2521219121354239,63,7,0,0.007272011063890994,0.007437357739685735,0.0021616303172185404,70,0,0
tennis,Tennis,part2,part3,Part 2 SOTA -> Part 3 Exploration,70,-0.05379642730655083,0.0,0.06698361628755628,0,28,42,-0.005266191523335197,-0.02388000511021815,0.28767584553059955,31,39,0,-0.00048270282148958106,-0.0008684825188399192,0.0023758994023599387,22,48,0
wild_video_frames,Wild Video,part1,part2,Part 1 Baseline -> Part 2 SOTA,137,0.2101263210450714,0.22205659191044946,0.20120445106193885,98,0,39,-10.832728580169261,-10.814965230577908,1.678983872396059,0,137,0,-0.4727565045850294,-0.4627922616068043,0.03855975861242868,0,137,0
wild_video_frames,Wild Video,part1,part3,Part 1 Baseline -> Part 3 Exploration,137,0.20588601030226175,0.19675526802284937,0.21319221130595983,97,1,39,-10.846935975382307,-10.846923771908063,1.6861000042090248,0,137,0,-0.4724711705980705,-0.46102326904113117,0.03943541626665865,0,137,0
wild_video_frames,Wild Video,part2,part3,Part 2 SOTA -> Part 3 Exploration,137,-0.004240310742809668,0.0,0.03404746786739514,34,52,51,-0.014207395213045908,0.0005647842243874379,0.13583863609027197,76,61,0,0.00028533398695901893,3.7406266001904775e-05,0.004425863203656139,74,63,0
